
contador,id,data,latência,largBanda,check

4548,1902,2019-04-26T20:47:54.841172,2,0,0



20085,15537,2019-04-26T23:21:13.579253,2,1.58,0
20581,15537,2019-04-26T23:21:20.941588,2,1.577,0
20071,15537,2019-04-26T23:21:27.801243,2,1.565,0
20064,15537,2019-04-26T23:21:34.658871,2,1.558,0
20075,15537,2019-04-26T23:21:41.547447,2,1.58,0
20067,15537,2019-04-26T23:21:48.394133,2,1.577,0
20044,15537,2019-04-26T23:26:34.498412,2,1.572,0
15702,21239,2019-04-26T23:26:50.254277,2,2.355,0
188492,2951,2019-04-26T23:27:14.545280,2,6.299,0
188528,2951,2019-04-26T23:27:28.009292,2,4.843,0
188488,2951,2019-04-26T23:27:31.268583,2,4.843,0
14634,11431,2019-04-26T23:27:37.381227,2,7.494,0
-55009,17228,2019-04-26T23:28:29.653971,2,0.253,0
17592,15966,2019-04-26T23:28:49.315359,2,1.395,0
3437,1902,2019-04-26T23:29:12.046585,2,16.832,0
32039,15537,2019-06-11T03:32:27.775944,2,1.55,0
32043,15537,2019-06-11T03:32:35.701203,2,1.561,0
